PHR Address,Snapshot 1,Snapshot 2,Snapshot 3,Snapshot 4,Snapshot 5,Snapshot 6
PWByAPkyD9oFtg5z1e6daTTiBj48cYedY1,16747.48500601,16857.64500601,16966.18500601,17076.34500601,17181.64500601,17288.56500601
PLNXppXuF6iwPvE6BZiNvj5eapmoGTuL8q,16727.34460468,16839.12460468,16949.28460468,17056.20460468,17161.50460468,17266.80460468
PMFqbJ3Wzdg1fDvzkDPjAyJRX34P3TAnkE,0.00000000,20019.44000000,20137.69854750,20252.71762811,20361.25634937,20485.99542968
PEgvCQW1Qbi4uuD216VR9En8NamjzsctsK,16865.37994080,16865.37994080,16865.37994080,16865.37994080,16865.37994080,16865.37994080
PM2SdrnVVHhihXeqzmAb8jkkWtjpagrDfB,16579.86556637,16693.26556637,16805.04556637,16910.34556637,17015.64556637,17130.66556637
PKnMxuJzRSMhf1x4WQEFTCC2U4J5hKSicN,16573.44590961,16686.84590961,16797.00590961,16908.78590961,17015.70590961,17125.86590961
PWeKH4UZ2fHsCRJozub9KfVrZ8hZA9NwVm,16548.30523843,16661.70523843,16767.00523843,16872.30523843,16979.22523843,17091.00523843
PUu8dFvSP8Vny7G8s4VGBgQG3vAjzhX1LW,16538.46477379,16653.48477379,16762.02477379,16870.56477379,16977.48477379,17087.64477379
PS9UTr3e2SWcJkLi6JjhJS727svXtVWobQ,16800.88000000,16800.88000000,16800.88000000,16800.88000000,16800.88000000,16800.88000000
PPZox6AZMFNSrWCcn8SEsWcJxvEdWiLMRs,16632.06419101,16747.08419101,16794.06419101,16794.06419101,16794.06419101,16794.06419101
PFh8sC1oog5nDwp1Ho7kihpVzBf1xb3Giq,16705.92432967,16705.92432967,16705.92432967,16705.92432967,16705.92432967,16705.92432967
PTRrVB391wZPbdTAZ4KDCgDqm2EJoopav3,16425.00590166,16536.78590166,16646.94590166,16758.72590166,16860.78590166,16970.94590166
PVAXHrBaJSKDehbYbWNVK64jAiXCMNCD8f,16278.84734433,16390.62734433,16495.92734433,16607.70734433,16716.24734433,16823.16734433
PX9QDBzyPmPmKGmujHqVCPmfUtPGJz4Dti,16272.78737692,16387.80737692,16499.58737692,16606.50737692,16715.04737692,16821.96737692
PCtqhKD87gW9y65YggBLu7vr8JNWLnHtnF,16162.57056467,16258.69056467,16369.93056467,16503.85056467,16647.49056467,16737.13056467
PHtnSDktw8emCnWyyBBLzHRrMPZYD1T4qE,15926.46409140,16088.46409140,16253.70409140,16421.10409140,16533.42409140,16670.58409140
